Timestamp,Gender,Age,Whereabouts,Ethnic/Dialect Group,Language spoken most frequently at home:,Marital Status,Nationality,Religion,Sexual Orientation,Professional/Employment Status,Sector,Industry,"Income per annum (including bonuses, gross)",Present Highest Education Level,Intended Highest Education Level,"Economic Scale (Left-Right) [What is your Political Compass analysis? (Optional, but highly recommended)]","Social Scale (Up-Down) [What is your Political Compass analysis? (Optional, but highly recommended)]",On Abortion: It is morally right to terminate a pregnancy before normal childbirth.,On Euthanasia: It is the duty of doctors to keep people alive for as long as possible.,On LGBTQ: The LGBTQ should be given equal rights.,On Religion: Religion has no place in politics.,On Freedom of Speech: The Government should relax existing restrictions on freedom of speech.,On Ministerial Salary: Our ministers should be paid less than they are at the moment.,On Minimum Wage: There should be a minimal wage for all occupations.,MBTI 
1/1/2017 10:46,Male,34,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Taoism/Chinese Traditional Beliefs,Heterosexual (straight),Salaried Employee,Public,Environment / Health,"$20,000 - $39,999",O level,Bachelor's Degree,,,,,,,,,,INFJ
1/1/2017 10:46,Male,25,Singapore,Hainanese,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Private,Legal,"$20,000 - $39,999",Bachelor's Degree,Master's Degree,Slightly Right,Slightly Up,5,2,3,6,1,4,3,ESFJ
1/1/2017 10:47,Female,15,Singapore,Hainanese,English,Single,Singapore Citizen,No Religion,Bisexual,Student,Not Applicable,Other: Student,"Below $20,000",PSLE,NITEC (including Higher and Master),Strongly Left,,6,3,7,4,6,4,5,ENFP
1/1/2017 10:48,Male,18,Singapore,Other Chinese Dialect,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",O level,A level,,,7,1,7,7,4,3,5,ISFP
1/1/2017 10:48,Male,17,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,,O level,Diploma,Slightly Left,Slightly Up,6,3,7,6,6,6,7,ISTJ
1/1/2017 10:50,Female,28,Singapore,Teochew,English,Engaged,Singapore Citizen,Buddhism,Heterosexual (straight),Salaried Employee,Private,Marketing / Public Relations,"$40,000 - $59,999",Bachelor's Degree,Master's Degree,Moderately Left,Moderately Up,4,4,7,7,5,5,7,
1/1/2017 10:52,Male,17,Singapore,Teochew,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: Student,,O level,Bachelor's Degree,Slightly Left,,6,1,5,7,6,6,5,ENTP
1/1/2017 10:52,Male,15,Singapore,Hakka,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",PSLE,PhD,Slightly Right,,6,2,5,7,7,5,1,
1/1/2017 10:52,Male,17,Singapore,Malay/Chinese ,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",O level,Master's Degree,Moderately Right,,4,3,7,7,4,6,5,
1/1/2017 10:52,Male,15,Singapore,Cantonese,English,Single,Singapore Citizen,No Religion,Attack Helicopter,Student,Not Applicable,Other/Not Applicable,"Below $20,000",PSLE,Master's Degree,Slightly Left,Slightly Up,7,1,6,1,6,6,6,INTP
1/1/2017 10:53,Female,27,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Unemployed and not seeking employment,Not Applicable,Other/Not Applicable,"Below $20,000",Bachelor's Degree,Bachelor's Degree,,,7,2,7,6,6,6,6,ENTJ
1/1/2017 10:53,Male,15,Singapore,Mandarin/Han,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",PSLE,PhD,,,7,4,7,6,7,5,5,ENTP
1/1/2017 10:56,Male,18,Singapore,Cantonese,English,Attached,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",Diploma,Master's Degree,Slightly Left,Moderately Up,5,4,6,7,5,5,3,INFJ
1/1/2017 10:56,Male,19,Singapore,Burmese,Burmese,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,,O level,Master's Degree,Moderately Right,Moderately Up,7,1,7,5,5,2,1,ESFJ
1/1/2017 10:57,Male,23,Singapore,Teochew,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Unemployed and seeking employment,Not Applicable,Architecture / Interior Design,"Below $20,000",Diploma,Bachelor's Degree,,,3,5,3,3,5,6,7,ENFJ
1/1/2017 10:58,Male,18,Singapore,Burmese,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",A level,Bachelor's Degree,Moderately Right,Slightly Down,6,4,6,6,4,3,2,INFP
1/1/2017 10:59,Male,35,Singapore,Hokkien,English,Married,Singapore Citizen,No Religion,Heterosexual (straight),Self-employed,Private,Engineering,"$60,000 - $79,999",Bachelor's Degree,Bachelor's Degree,Slightly Left,Moderately Up,6,4,5,7,5,1,5,ISTP
1/1/2017 11:00,Female,30,Singapore,Eurasian,English,Single,Singapore PR (1st Gen),"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Private,Education & Training,"$40,000 - $59,999",Bachelor's Degree,Master's Degree,,,5,4,6,6,4,7,7,ISTJ
1/1/2017 11:01,Male,27,Singapore,Teochew,Mandarin,Attached,Singapore Citizen,No Religion,Homosexual (gay/lesbian),Salaried Employee,Public,Engineering,"$60,000 - $79,999",Master's Degree,Master's Degree,Strongly Left,Slightly Down,7,4,7,7,7,6,7,ISTJ
1/1/2017 11:01,Female,18,Singapore,Hokkien,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Private,Food and Beverage,"Below $20,000",A level,Bachelor's Degree,,,3,3,7,7,4,3,3,INFP
1/1/2017 11:02,Male,20,Singapore,Hokkien,English,Attached,Singapore Citizen,"Christianity, Roman Catholic",Bisexual,NSF,Public,Other: NSF,"Below $20,000",O level,Bachelor's Degree,,,3,3,4,6,3,5,5,ENFP
1/1/2017 11:02,Male,23,Singapore,Cantonese,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Food and Beverage,"Below $20,000",NITEC (including Higher and Master),Bachelor's Degree,Moderately Left,Moderately Up,4,2,7,7,6,5,5,ISFP
1/1/2017 11:02,Male,24,Singapore,Tamil,Tamil,Single,Foreigner (Expatriate),Hinduism,Heterosexual (straight),Student,Not Applicable,Engineering,"$20,000 - $39,999",Master's Degree,PhD,Moderately Left,,7,7,7,7,7,7,7,ISTJ
1/1/2017 11:03,Male,20,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",A level,PhD,Slightly Left,,6,3,6,6,6,4,6,INTJ
1/1/2017 11:03,Male,31,Singapore,Caucasian,English,Single,Foreigner (Expatriate),No Religion,Heterosexual (straight),Salaried Employee,Public,Sciences / Laboratory / R&D,"$40,000 - $59,999",PhD,PhD,Moderately Left,Moderately Up,7,4,7,7,6,4,7,INTJ
1/1/2017 11:04,Male,25,Singapore,Hokkien,English,Attached,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Banking & Finance,"$60,000 - $79,999",Bachelor's Degree,Master's Degree,Moderately Left,Moderately Up,6,2,6,7,6,5,4,INTJ
1/1/2017 11:05,Male,20,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",NITEC (including Higher and Master),Diploma,,,6,5,4,5,4,4,6,
1/1/2017 11:06,Male,23,Singapore,Cantonese,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Education & Training,"Below $20,000",Diploma,PhD,,,4,2,4,7,3,4,1,INFP
1/1/2017 11:07,Female,17,Singapore,Teochew,Mandarin,Attached,Singapore Citizen,No Religion,Bisexual,Student,Not Applicable,Other: Student,"Below $20,000",PSLE,Master's Degree,Strongly Left,Slightly Down,3,5,7,6,2,1,6,ESFP
1/1/2017 11:11,Male,23,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Salaried Employee,Public,Security & Investigation,"$20,000 - $39,999",Diploma,Bachelor's Degree,,,6,5,6,7,3,5,1,
1/1/2017 11:11,Male,14,Singapore,Hindi,English,Single,Singapore PR (2nd Gen and above),Hinduism,Heterosexual (straight),Student,Not Applicable,Other: Student,"$100,000 - $199,999",PSLE,PhD,Strongly Left,,7,1,7,7,5,4,7,INFP
1/1/2017 11:11,Male,17,Singapore,Cantonese,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",O level,Bachelor's Degree,Slightly Left,Slightly Down,4,4,5,5,6,4,3,INFJ
1/1/2017 11:13,Male,20,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",Diploma,Bachelor's Degree,Slightly Left,Slightly Down,5,1,4,7,5,6,5,INFJ
1/1/2017 11:13,Male,20,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Homosexual (gay/lesbian),NSF,Public,Sciences / Laboratory / R&D,"Below $20,000",Diploma,Bachelor's Degree,Moderately Left,,5,3,5,6,4,3,3,INTJ
1/1/2017 11:13,Male,24,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,"Below $20,000",A level,Bachelor's Degree,Slightly Right,,7,1,7,4,4,3,1,INTJ
1/1/2017 11:13,Female,30,Singapore,Cantonese,Chinese/Indian dialect,Single,Singapore Citizen,No Religion,Heterosexual (straight),Self-employed,Private,Other/Not Applicable,"$20,000 - $39,999",Diploma,Diploma,,,5,4,6,7,6,4,6,
1/1/2017 11:15,Male,21,Singapore,Malay,English,Single,Singapore Citizen,Islam,Heterosexual (straight),Student,Public,Other: Student,"Below $20,000",NITEC (including Higher and Master),Diploma,,,4,6,7,5,4,4,2,ISFP
1/1/2017 11:16,Male,31,Singapore,Teochew,Mandarin,Single,Singapore Citizen,Humanist,Heterosexual (straight),Self-employed,Private,Advertising / Media,"$20,000 - $39,999",Bachelor's Degree,Diploma,Slightly Left,Moderately Up,3,3,7,6,5,6,7,INTP
1/1/2017 11:17,Male,22,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Public,Other: NSF,"Below $20,000",Diploma,Master's Degree,,,4,7,7,7,4,4,3,ISTJ
1/1/2017 11:18,Male,26,Singapore,Hakka,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Legal,"$40,000 - $59,999",Bachelor's Degree,Bachelor's Degree,Slightly Left,Slightly Up,7,5,5,7,4,3,5,
1/1/2017 11:19,Male,28,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Public,General Management / Work,"$60,000 - $79,999",Bachelor's Degree,Bachelor's Degree,Slightly Right,Slightly Up,7,5,6,6,5,4,1,INTJ
1/1/2017 11:21,Male,20,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",A level,Bachelor's Degree,,Slightly Up,5,2,6,7,4,2,3,ISFJ
1/1/2017 11:23,Male,20,Singapore,Teochew,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Student,Public,Information Technology,,O level,Bachelor's Degree,,,2,2,7,6,4,4,4,
1/1/2017 11:23,Male,19,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",A level,Bachelor's Degree,Slightly Right,,4,5,5,3,5,4,3,ENFP
1/1/2017 11:24,Male,19,Singapore,no idea,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Engineering,"Below $20,000",O level,Diploma,Moderately Left,Moderately Up,7,1,7,7,7,5,4,INTP
1/1/2017 11:24,Male,16,Singapore,Tamil,Tamil,Single,Singapore PR (1st Gen),"Christianity, Roman Catholic",Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",PSLE,Bachelor's Degree,,,5,3,7,4,5,6,5,INTJ
1/1/2017 11:25,Male,29,Singapore,Hokkien,English,Attached,Singapore Citizen,No Religion,Heterosexual (straight),Salaried Employee,Private,Accounting / Auditing / Taxation,"$60,000 - $79,999",Bachelor's Degree,Bachelor's Degree,Moderately Left,Slightly Up,7,1,6,6,6,6,3,ENTJ
1/1/2017 11:26,Female,16,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Bisexual,Self-employed,Not Applicable,Information Technology,"Below $20,000",O level,Bachelor's Degree,Moderately Left,Strongly Down,7,1,7,6,5,3,7,INTJ
1/1/2017 11:27,Male,18,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Public,Other: NSF,"Below $20,000",A level,Master's Degree,Slightly Left,Slightly Up,4,3,2,7,3,6,3,INTJ
1/1/2017 11:27,Male,18,Singapore,None,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,,O level,Bachelor's Degree,Moderately Left,Moderately Down,4,2,6,7,6,5,5,INFJ
1/1/2017 11:28,Male,26,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",Bachelor's Degree,Master's Degree,Slightly Right,,6,3,4,7,6,7,3,INTP
1/1/2017 11:29,Male,27,Singapore,Hokkien,English,Attached,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Salaried Employee,Private,Information Technology,"$20,000 - $39,999",Bachelor's Degree,Master's Degree,Moderately Left,Slightly Down,7,1,1,4,7,7,2,ENTP
1/1/2017 11:29,Female,30,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Queer,Salaried Employee,Public,Other/Not Applicable,"$40,000 - $59,999",Bachelor's Degree,Bachelor's Degree,Slightly Right,,4,2,7,7,2,2,3,ISTJ
1/1/2017 11:30,Male,30,Singapore,Caucasian,English,Married,Foreigner (Expatriate),No Religion,Heterosexual (straight),Salaried Employee,Private,Other/Not Applicable,"$200,000 and above",Master's Degree,Master's Degree,Moderately Right,Slightly Down,7,3,7,7,4,2,7,ENTJ
1/1/2017 11:30,Male,18,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Public,Other/Not Applicable,,O level,Master's Degree,,,6,6,5,7,5,5,6,
1/1/2017 11:30,Male,18,Singapore,Cantonese,English,Attached,Singapore Citizen,No Religion,Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",A level,Bachelor's Degree,Slightly Left,Slightly Down,5,5,6,5,5,4,4,ISTP
1/1/2017 11:30,Male,19,Singapore,Teochew,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),NSF,Not Applicable,Other: NSF,"Below $20,000",IB,Bachelor's Degree,,,,,,,,,,
1/1/2017 11:30,Male,22,"Overseas, studying",Hainanese,English,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",A level,Master's Degree,Moderately Left,,7,2,7,7,6,3,2,
1/1/2017 11:30,Male,24,Singapore,Cantonese,Mandarin,Attached,Singapore Citizen,Buddhism,Heterosexual (straight),Unemployed and seeking employment,Public,Consulting,"Below $20,000",Bachelor's Degree,Master's Degree,,,6,3,5,7,3,5,1,
1/1/2017 11:31,Male,17,Singapore,Hokkien,English,Single,Singapore Citizen,No Religion,Helicopter,Student,Not Applicable,Other: Student,"Below $20,000",O level,Bachelor's Degree,Slightly Left,Slightly Down,7,2,7,7,6,7,6,ISTP
1/1/2017 11:32,Female,99,"Overseas, studying",Vietnamese,Malay,Widowed,Singapore PR (2nd Gen and above),Sikhism,Asexual,Self-employed,Not Applicable,Events / Promotion,"$80,000 - $99,999",PhD,PSLE,Moderately Right,Slightly Up,3,7,2,6,2,6,4,ESFJ
1/1/2017 11:32,Female,19,Singapore,Henghua,English,Single,Singapore Citizen,No Religion,Asexual,Student,Not Applicable,Other: Student,"Below $20,000",A level,Master's Degree,Strongly Left,Strongly Down,6,3,7,7,7,7,5,INFP
1/1/2017 11:33,Male,16,Singapore,Malay,Malay,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",PSLE,Bachelor's Degree,Slightly Right,Slightly Up,7,1,7,7,5,7,7,ISTP
1/1/2017 11:34,Male,17,Singapore,Hokkien,Mandarin,Single,Singapore Citizen,Buddhism,Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,"Below $20,000",O level,Bachelor's Degree,Moderately Right,Slightly Down,7,2,3,7,5,5,7,ESTP
1/1/2017 11:34,Male,19,Singapore,Hokkien,English,Single,Singapore Citizen,"Christianity, Roman Catholic",Heterosexual (straight),Student,Not Applicable,Other/Not Applicable,"Below $20,000",O level,Diploma,,,5,3,4,4,3,4,5,
1/1/2017 11:35,Male,35,Singapore,Teochew,Singlish,Single,Singapore Citizen,No Religion,Heterosexual (straight),Student,Not Applicable,Other: Student,"Below $20,000",Bachelor's Degree,PhD,Moderately Left,Slightly Up,7,1,7,6,4,5,5,INTP
1/1/2017 11:36,Male,27,Singapore,Cantonese,English,Single,Foreigner (Non-Expatriate),No Religion,Heterosexual (straight),Salaried Employee,Private,Sales / Retail,"$80,000 - $99,999",Bachelor's Degree,Master's Degree,Moderately Right,Slightly Up,6,7,7,7,5,3,2,INTJ
1/1/2017 11:37,Female,21,Singapore,Cantonese,English,Single,Singapore Citizen,No Religion,Bisexual,Student,Not Applicable,Other: Student,"Below $20,000",A level,Master's Degree,Moderately Left,Slightly Down,6,6,7,7,7,5,5,INFP
1/1/2017 11:37,Female,14,Singapore,Hakka,English,Attached,Singapore Citizen,No Religion,Bisexual,Student,Not Applicable,Other: Student,,PSLE,Bachelor's Degree,Slightly Left,Moderately Up,3,4,7,6,6,3,4,ENFP
